Seed,Stations,Occupancy,Efficiency
0,1,0.73494426,0.63294132
0,2,0.75195319,0.64758958
0,3,0.74794051,0.64413382
0,4,0.73741987,0.63507334
0,5,0.72838291,0.62729062
0,6,0.71802244,0.61836808
0,7,0.70996336,0.61142752
0,8,0.70175535,0.6043587
0,9,0.69351362,0.59726084
0,10,0.68630597,0.59105354
1,1,0.73480657,0.63282274
1,2,0.75166376,0.64734032
1,3,0.74731669,0.64359658
1,4,0.73825444,0.63579208
1,5,0.7281272,0.6270704
1,6,0.71814608,0.61847456
1,7,0.71041015,0.6118123
1,8,0.70147716,0.60411912
1,9,0.69408686,0.59775452
1,10,0.68671061,0.59140202
2,1,0.73473913,0.63276466
2,2,0.75223419,0.64783158
2,3,0.74843226,0.64455732
2,4,0.73848486,0.63599052
2,5,0.72783496,0.62681872
2,6,0.71859006,0.61885692
2,7,0.70952219,0.61104758
2,8,0.70149121,0.60413122
2,9,0.69371875,0.5974375
2,10,0.68667408,0.59137056
3,1,0.73447499,0.63253718
3,2,0.75162442,0.64730644
3,3,0.74867954,0.64477028
3,4,0.73785542,0.63544844
3,5,0.72866672,0.62753504
3,6,0.71835683,0.61865606
3,7,0.70955872,0.61107904
3,8,0.70184527,0.60443614
3,9,0.6931708,0.5969656
3,10,0.68693822,0.59159804
4,1,0.73443284,0.63250088
4,2,0.7520965,0.647713
4,3,0.74772976,0.64395232
4,4,0.73808865,0.6356493
4,5,0.72862457,0.62749874
4,6,0.71852543,0.61880126
4,7,0.70871853,0.61035546
4,8,0.701376,0.604032
4,9,0.69455332,0.59815624
4,10,0.68704781,0.59169242
