Seed,Stations,PerStation,NormPerStation
0,1,6.647336,0.06647336
0,2,6.940138,0.06940138
0,3,7.066026,0.07066026
0,4,6.952502,0.06952502
0,5,7.032587,0.07032587
0,6,6.643121,0.06643121
0,7,6.836168,0.06836168
0,8,6.920187,0.06920187
0,9,6.650146,0.06650146
0,10,6.994933,0.06994933
128,1,6.748215,0.06748215
128,2,6.781654,0.06781654
128,3,7.045794,0.07045794
128,4,6.84235,0.0684235
128,5,6.815655,0.06815655
128,6,6.678246,0.06678246
128,7,7.147235,0.07147235
128,8,6.973858,0.06973858
128,9,6.862582,0.06862582
128,10,6.829705,0.06829705
256,1,7.101432,0.07101432
256,2,6.729669,0.06729669
256,3,6.779687,0.06779687
256,4,7.010388,0.07010388
256,5,6.833077,0.06833077
256,6,6.881128,0.06881128
256,7,6.659419,0.06659419
256,8,6.892368,0.06892368
256,9,6.907823,0.06907823
256,10,6.83954,0.0683954
384,1,6.977511,0.06977511
384,2,7.00252,0.0700252
384,3,6.520605,0.06520605
384,4,6.984536,0.06984536
384,5,6.869326,0.06869326
384,6,6.924964,0.06924964
384,7,6.720115,0.06720115
384,8,6.920749,0.06920749
384,9,6.764794,0.06764794
384,10,7.041017,0.07041017
512,1,6.894054,0.06894054
512,2,6.876351,0.06876351
512,3,6.883095,0.06883095
512,4,6.669816,0.06669816
512,5,6.925526,0.06925526
512,6,6.939857,0.06939857
512,7,6.840383,0.06840383
512,8,6.799919,0.06799919
512,9,6.963742,0.06963742
512,10,6.904732,0.06904732
