Seed,Stations,ChannelOccupancy,ChannelEfficiency
0,1,0.73484872,0.63285904
0,2,0.75091911,0.64669902
0,3,0.7484997,0.6446154
0,4,0.73797344,0.63555008
0,5,0.72811315,0.6270583
0,6,0.71806178,0.61840196
0,7,0.70920466,0.61077412
0,8,0.70126922,0.60394004
0,9,0.69349957,0.59724874
0,10,0.68723327,0.59185214
128,1,0.73463235,0.6326727
128,2,0.75189137,0.64753634
128,3,0.74815126,0.64431532
128,4,0.73847924,0.63598568
128,5,0.72877912,0.62763184
128,6,0.71826129,0.61857378
128,7,0.70975261,0.61124602
128,8,0.7016851,0.6042982
128,9,0.69294881,0.59677442
128,10,0.68666284,0.59136088
256,1,0.73447499,0.63253718
256,2,0.75231849,0.64790418
256,3,0.74811192,0.64428144
256,4,0.73862817,0.63611394
256,5,0.72809629,0.62704378
256,6,0.71882048,0.61905536
256,7,0.70959244,0.61110808
256,8,0.70144625,0.6040925
256,9,0.69390702,0.59759964
256,10,0.68730071,0.59191022
384,1,0.73459863,0.63264366
384,2,0.75261635,0.6481607
384,3,0.74794332,0.64413624
384,4,0.73876024,0.63622768
384,5,0.72800075,0.6269615
384,6,0.71825567,0.61856894
384,7,0.70974137,0.61123634
384,8,0.70153617,0.60416994
384,9,0.69372999,0.59744718
384,10,0.68703938,0.59168516
512,1,0.73473913,0.63276466
512,2,0.75228758,0.64787756
512,3,0.74794051,0.64413382
512,4,0.73861693,0.63610426
512,5,0.72860209,0.62747938
512,6,0.71765714,0.61805348
512,7,0.70938731,0.61093142
512,8,0.701657,0.604274
512,9,0.69361197,0.59734554
512,10,0.68671061,0.59140202
