Seed,Stations,Fails,Success,Colisions
0,1,0,26136,0.0
0,3,5827,26551,17.996787942430046
0,2,3298,26783,10.96373125893421
0,4,7770,26250,22.839506172839506
0,5,9407,25846,26.68425382236973
1,1,0,26162,0.0
1,2,3458,26661,11.48112487134367
1,3,5608,26697,17.35954186658412
1,4,7563,26304,22.331473115422092
1,5,9483,25849,26.839692063851466
2,1,0,26129,0.0
2,2,3342,26722,11.116285258116019
2,3,5704,26617,17.647968812846138
2,4,7789,26239,22.88997296344187
2,5,9319,25903,26.45789563341094
3,1,0,26138,0.0
3,2,3338,26746,11.095598989496077
3,3,5843,26526,18.051221848064504
3,4,7610,26300,22.4417575936302
3,5,9247,25917,26.296780798543967
4,1,0,26132,0.0
4,2,3236,26835,10.761198496890692
4,3,5714,26629,17.66688309680611
4,4,7811,26218,22.9539510417585
4,5,9398,25870,26.647385732108425
0,6,10754,25545,29.626160500289263
0,9,14056,24612,36.35047067342506
0,7,11808,25261,31.854109903153578
0,10,14617,24482,37.38458784112126
1,6,10628,25578,29.354250676683424
1,7,11816,25255,31.87397156807208
1,8,12869,25037,33.949770484883665
1,9,13663,24770,35.55017823224833
1,10,14744,24430,37.63720835247869
2,6,10721,25539,29.567015995587425
2,7,11966,25185,32.2090926220021
2,9,13831,24680,35.91441406351432
2,8,12919,24977,34.09066919991556
2,10,14713,24460,37.55903300742859
3,8,12877,25014,33.984323454118396
3,6,10852,25516,29.83941926968764
3,7,11785,25268,31.80579170377567
3,9,13733,24756,35.68032424848658
3,10,14557,24495,37.275939772610876
4,6,10650,25527,29.438593581557342
4,7,11816,25260,31.8696731038947
4,8,12866,24943,34.02893490967759
4,9,13908,24743,35.98354505704898
4,10,14828,24433,37.76775935406638
